Purpose,Purpose Summary
Acupuncture,Medical
Alcohol & Drug Treatment,Medical
Allergy,Medical
Alternative Medicine/Naturopathy,Medical
Cardiac Rehab,Medical
Cardiology,Medical
Chemotherapy,Medical
Chiropractic,Medical
Colorectal,Medical
COVID-19 Confirmed,Medical
COVID-19 Precaution Test,Medical
COVID-19 Special Event,Medical
COVID-19 Vaccines,Medical
Dental Routine,Medical
Dental Urgent,Medical
Dermatology,Medical
Diabetic/Endo,Medical
Diagnostic Imaging,Medical
Diagnostic Testing,Medical
Dialysis,Medical
Durable Medical Equipment,Medical
ENT - Ear Nose & Throat,Medical
ER Discharge,Medical
Gastroenterology,Medical
Grocery Store,Non-covered service
Health Education,Medical
Higher Level of Care,Medical
Hospital Discharge,Medical
Immunizations,Medical
Infusion,Medical
Mental Health - Counseling,Medical
Mental Health Day Treatment,Medical
Neo Natal,Medical
Nephrology,Medical
Neurology,Medical
Non-covered service,Non-covered service
OBGYN,Medical
Oncology,Medical
Ophthalmology,Medical
Optometrist,Medical
Orthopedic,Medical
Other Specialty Doctor,Medical
Outpatient Surgery,Medical
Pain Management,Medical
Pharmacy,Medical
Podiatry,Medical
Post Op,Medical
Pre op,Medical
Primary Care,Medical
Pulmonology,Medical
Residential Treatment,Medical
Rheumatology,Medical
Sleep Study,Medical
Surgery,Medical
Therapy - Occupational,Medical
Therapy - Physical,Medical
Therapy - Speech,Medical
Transplant,Medical
TTO â€“ LIF HOP,Non-covered service
Urgent Care,Medical
Urology,Medical
Womens Health,Medical
Wound Care,Medical
